mode_type,difficulty,rows,bucket_index,multiplier,probability,source,notes
normal,Low,8,0,5.6,7.959059981015918772e-03,authoritative_multiplier_table+symmetric_design,mode=normal_low_8; theta=-0.075291; rebalance_alpha=0.9200; std_floor_two_point_blend; base_std=0.51162768; chosen_std=0.70000000; blend_t=0.12174420; max_var_std=1.46167361; std_rule=0.6-60.0
100balls,Low,8,13,77.62,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,14,77.72,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,15,77.81,1.999999900000004968e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,16,77.91,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,17,78.01,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,18,78.11,4.999999750000012758e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,19,78.21,5.999999700000014903e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,20,78.31,3.999999800000009936e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,21,78.41,6.999999650000017048e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,22,78.51,7.999999600000019871e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,23,78.61,4.999999750000012758e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,24,78.7,2.999999850000007452e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,25,78.8,7.999999600000019871e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,26,78.9,5.999999700000014903e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,27,79.0,7.999999600000019871e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,28,79.1,1.199999940000002981e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,29,79.2,6.999999650000017048e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,30,79.3,4.999999750000012758e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,31,79.4,8.999999550000022694e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,32,79.5,1.199999940000002981e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,33,79.6,1.099999945000002698e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,34,79.7,8.999999550000022694e-05,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,35,79.79,1.799999910000004539e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,36,79.89,1.999999900000005103e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,37,79.99,1.499999925000003692e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,38,80.09,1.999999900000005103e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,39,80.19,2.599999870000006255e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,40,80.29,2.099999895000005115e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,41,80.39,2.599999870000006255e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,42,80.49,1.899999905000004821e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,43,80.59,2.199999890000005397e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,44,80.68,2.099999895000005115e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,45,80.78,2.099999895000005115e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,46,80.88,3.699999815000009360e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,47,80.98,2.599999870000006255e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,48,81.08,2.599999870000006255e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,49,81.18,3.799999810000009642e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,50,81.28,2.799999860000006819e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,51,81.38,4.899999755000012747e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,52,81.48,3.799999810000009642e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,53,81.58,3.199999840000007948e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,54,81.68,4.499999775000011076e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,55,81.77,5.299999735000012792e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,56,81.87,5.299999735000012792e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,57,81.97,4.499999775000011076e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,58,82.07,5.599999720000013639e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,59,82.17,6.299999685000015615e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,60,82.27,5.399999730000013074e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,61,82.37,8.099999595000020695e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,62,82.47,6.699999665000016744e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,63,82.57,8.299999585000021260e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,64,82.66,6.099999695000015050e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,65,82.76,8.499999575000020740e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,66,82.86,8.999999550000022152e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,67,82.96,7.699999615000019566e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,68,83.06,8.199999590000020978e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,69,83.16,1.019999949000002445e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,70,83.26,1.049999947500002530e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,71,83.36,1.139999943000002784e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,72,83.46,9.499999525000023563e-04,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,73,83.56,1.049999947500002530e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,74,83.66,1.129999943500002756e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,75,83.75,1.339999933000003349e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,76,83.85,1.209999939500002982e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,77,83.95,1.359999932000003405e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,78,84.05,1.339999933000003349e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,79,84.15,1.379999931000003462e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,80,84.25,1.439999928000003631e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,81,84.35,1.629999918500004167e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,82,84.45,1.459999927000003687e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,83,84.55,1.549999922500003941e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,84,84.64,1.699999915000004148e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,85,84.74,1.969999901500004910e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,86,84.84,2.049999897500005136e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,87,84.94,1.899999905000004713e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,88,85.04,1.999999900000005212e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,89,85.14,1.979999901000005155e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,90,85.24,2.009999899500005023e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,91,85.34,1.929999903500004797e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,92,85.44,2.289999885500005813e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,93,85.54,1.969999901500004910e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,94,85.64,2.019999899000004834e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,95,85.73,2.639999868000006585e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,96,85.83,2.429999878500006209e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
100balls,Low,8,97,85.93,2.609999869500006717e-03,authoritative_multiplier_table+symmetric_design,mode=buy100_low_8; theta=-0.075291; true_100balls_mc; balls=100; samples=100000; outcomes=488; buy_cost=99.0; flatten_alpha=0.88; variants_per_payout<=24
