difficulty,rows,bucket_index,multiplier,payout_unit,aggregation_rule,cost_multiplier,source,notes
Low,13,10,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,11,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,12,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,13,13,801.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_13
Low,14,0,702.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,1,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,2,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,3,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,4,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,5,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,6,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,7,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,8,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,9,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,10,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,11,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,12,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,13,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,14,14,702.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_14
Low,15,0,1485.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,1,792.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,2,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,3,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,4,148.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,5,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,6,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,7,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,8,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,9,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,10,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,11,148.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,12,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,13,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,14,792.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,15,15,1485.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_15
Low,16,0,1584.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,1,891.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,2,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,3,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,4,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,5,118.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,6,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,7,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,8,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,9,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,10,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,11,118.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,12,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,13,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,14,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,15,891.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Low,16,16,1584.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_low_16
Medium,8,0,1287.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,1,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,2,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,3,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,4,39.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,5,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,6,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,7,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,8,8,1287.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_8
Medium,9,0,1782.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,1,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,2,168.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,3,89.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,4,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,5,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,6,89.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,7,168.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,8,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,9,9,1782.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_9
Medium,10,0,2178.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,1,495.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,2,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,3,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,4,59.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,5,39.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,6,59.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,7,138.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,8,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,9,495.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,10,10,2178.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_10
Medium,11,0,2376.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,1,594.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,2,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,3,178.200000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,4,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,5,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,6,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,7,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,8,178.200000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,9,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,10,594.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,11,11,2376.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_11
Medium,12,0,3267.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,1,1089.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,2,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,3,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,4,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,5,59.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,6,29.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,7,59.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,8,108.900000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,9,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,10,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,11,1089.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,12,12,3267.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_12
Medium,13,0,4257.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,1,1287.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,2,594.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,3,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,4,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,5,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,6,39.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,7,39.600000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,8,69.300000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,9,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,10,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,11,594.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,12,1287.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,13,13,4257.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_13
Medium,14,0,5742.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,1,1485.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,2,693.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,3,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,4,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,5,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,6,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,7,19.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,8,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,9,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,10,188.100000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,11,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,12,693.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,13,1485.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,14,14,5742.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_14
Medium,15,0,8712.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,1,1782.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,2,1089.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,3,495.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,4,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,5,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,6,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,7,29.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,8,29.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,9,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,10,128.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,11,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,12,495.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,13,1089.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,14,1782.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,15,15,8712.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_15
Medium,16,0,10890.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,1,4059.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,2,990.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,3,495.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,4,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,5,148.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,6,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,7,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,8,29.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,9,49.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,10,99.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,11,148.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,12,297.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,13,495.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,14,990.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,15,4059.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
Medium,16,16,10890.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_medium_16
High,8,0,2871.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,1,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,2,148.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,3,29.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,4,19.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,5,29.700000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,6,148.500000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,7,396.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,8,8,2871.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_8
High,9,0,4257.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,1,693.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,2,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,3,59.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,4,19.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,5,19.800000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,6,59.400000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,7,198.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
High,9,8,693.000000,x,sum_100_independent,99,derived_from_authoritative_normal_x99_capped,mode=buy100_high_9
