mode_type,difficulty,rows,bucket_index,multiplier,probability,source,notes
100balls,Low,10,0,881.100000,8.183566677769155699e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,1,297.000000,6.696510316243447364e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,2,138.600000,7.708601062599226839e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,3,108.900000,1.218812468290683126e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,4,99.000000,1.419898589011054368e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,5,49.500000,3.046909282985132972e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,6,99.000000,1.419898589011054368e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,7,108.900000,1.218812468290683126e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,8,138.600000,7.708601062599226839e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,9,297.000000,6.696510316243447364e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
100balls,Low,10,10,881.100000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_10
normal,Low,11,0,8.400000,1.389054640545281176e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,1,3.000000,3.365523066162647015e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,2,1.900000,2.631221995973045957e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,3,1.300000,8.078033111429622215e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,4,1.000000,1.415401651384501081e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,5,0.700000,2.480011912686285735e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,6,0.700000,2.480011912686285735e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,7,1.000000,1.415401651384501081e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,8,1.300000,8.078033111429622215e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,9,1.900000,2.631221995973045957e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,10,3.000000,3.365523066162647015e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
normal,Low,11,11,8.400000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_11
100balls,Low,11,0,831.600000,1.389054640545276412e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,1,297.000000,3.365523066162647015e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,2,188.100000,2.631221995973044570e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,3,128.700000,8.078033111429624991e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,4,99.000000,1.415401651384501081e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,5,69.300000,2.480011912686285735e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,6,69.300000,2.480011912686285735e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,7,99.000000,1.415401651384501081e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,8,128.700000,8.078033111429624991e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,9,188.100000,2.631221995973044570e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,10,297.000000,3.365523066162647015e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
100balls,Low,11,11,831.600000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_11
normal,Low,12,0,10.000000,3.794741376899185275e-09,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,1,3.000000,2.703804495709961116e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,2,1.600000,4.004367301915984917e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,3,1.400000,5.885136854955551333e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,4,1.100000,1.048553409285700039e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,5,1.000000,1.271164883257715761e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,6,0.500000,3.328576455677247359e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,7,1.000000,1.271164883257715761e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,8,1.100000,1.048553409285700039e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,9,1.400000,5.885136854955551333e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,10,1.600000,4.004367301915984917e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,11,3.000000,2.703804495709961116e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
normal,Low,12,12,10.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_12
100balls,Low,12,0,990.000000,3.794741376899185275e-09,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,1,297.000000,2.703804495709961116e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,2,158.400000,4.004367301915984917e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,3,138.600000,5.885136854955551333e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,4,108.900000,1.048553409285700455e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,5,99.000000,1.271164883257715761e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,6,49.500000,3.328576455677247359e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,7,99.000000,1.271164883257715761e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,8,108.900000,1.048553409285700455e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,9,138.600000,5.885136854955551333e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,10,158.400000,4.004367301915984917e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,11,297.000000,2.703804495709961116e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
100balls,Low,12,12,990.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_12
normal,Low,13,0,8.100000,1.317934066734225975e-06,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,1,4.000000,1.015076711772185418e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,2,3.000000,5.135100032025699882e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,3,1.900000,3.054948943680648940e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,4,1.200000,9.502524263173939278e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,5,0.900000,1.545446589070416099e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,6,0.700000,2.137292733135812695e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,7,0.700000,2.137292733135812695e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,8,0.900000,1.545446589070416099e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,9,1.200000,9.502524263173939278e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,10,1.900000,3.054948943680648940e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,11,3.000000,5.135100032025699882e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,12,4.000000,1.015076711772185418e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
normal,Low,13,13,8.100000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_13
100balls,Low,13,0,801.900000,1.317934066734230422e-06,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,1,396.000000,1.015076711772187152e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,2,297.000000,5.135100032025703351e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,3,188.100000,3.054948943680649634e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,4,118.800000,9.502524263173937891e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,5,89.100000,1.545446589070416099e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,6,69.300000,2.137292733135812417e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,7,69.300000,2.137292733135812417e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,8,89.100000,1.545446589070416099e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,9,118.800000,9.502524263173937891e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,10,188.100000,3.054948943680649634e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,11,297.000000,5.135100032025703351e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,12,396.000000,1.015076711772187152e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
100balls,Low,13,13,801.900000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_13
normal,Low,14,0,7.100000,2.763135447059767180e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,1,4.000000,1.979201261282956628e-04,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,2,1.900000,1.700519765611035322e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,3,1.400000,4.909979897428639467e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,4,1.300000,6.069869024606550090e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,5,1.100000,9.276380021963089029e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,6,1.000000,1.146774791996205273e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,7,0.500000,3.311129508427713142e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,8,1.000000,1.146774791996205273e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,9,1.100000,9.276380021963089029e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,10,1.300000,6.069869024606550090e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,11,1.400000,4.909979897428639467e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,12,1.900000,1.700519765611035322e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,13,4.000000,1.979201261282956628e-04,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
normal,Low,14,14,7.100000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_14
100balls,Low,14,0,702.900000,2.763135447059785709e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,1,396.000000,1.979201261282966114e-04,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,2,188.100000,1.700519765611037057e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,3,138.600000,4.909979897428640161e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,4,128.700000,6.069869024606554253e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,5,108.900000,9.276380021963086253e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,6,99.000000,1.146774791996205689e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,7,49.500000,3.311129508427711476e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,8,99.000000,1.146774791996205689e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,9,108.900000,9.276380021963086253e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,10,128.700000,6.069869024606554253e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,11,138.600000,4.909979897428640161e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,12,188.100000,1.700519765611037057e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,13,396.000000,1.979201261282966114e-04,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
100balls,Low,14,14,702.900000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_14
normal,Low,15,0,15.000000,1.472889931552224889e-14,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,1,8.000000,4.197762047208390524e-08,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,2,3.000000,1.712470861321063959e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,3,2.000000,1.431344802086171285e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,4,1.500000,4.138136408938895838e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,5,1.100000,9.675050320520314773e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,6,1.000000,1.196369520050472035e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,7,0.700000,2.262047198405501003e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,8,0.700000,2.262047198405501003e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,9,1.000000,1.196369520050472035e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,10,1.100000,9.675050320520314773e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,11,1.500000,4.138136408938895838e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,12,2.000000,1.431344802086171285e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,13,3.000000,1.712470861321063959e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,14,8.000000,4.197762047208390524e-08,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
normal,Low,15,15,15.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_15
100balls,Low,15,0,1485.000000,1.472889931552224889e-14,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,1,792.000000,4.197762047208390524e-08,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,2,297.000000,1.712470861321063959e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,3,198.000000,1.431344802086171285e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,4,148.500000,4.138136408938895838e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,5,108.900000,9.675050320520314773e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,6,99.000000,1.196369520050472035e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,7,69.300000,2.262047198405501003e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,8,69.300000,2.262047198405501003e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,9,99.000000,1.196369520050472035e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,10,108.900000,9.675050320520314773e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,11,148.500000,4.138136408938895838e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,12,198.000000,1.431344802086171285e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,13,297.000000,1.712470861321063959e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,14,792.000000,4.197762047208390524e-08,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
100balls,Low,15,15,1485.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_15
normal,Low,16,0,16.000000,5.425451834544698920e-17,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,1,9.000000,7.278443325914574900e-10,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,2,2.000000,9.764299613028706512e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,3,1.400000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,4,1.400000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,5,1.200000,6.371244188992757074e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,6,1.100000,8.054658734866369796e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,7,1.000000,1.018286623627522869e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,8,0.500000,3.288399017149976622e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,9,1.000000,1.018286623627522869e-01,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,10,1.100000,8.054658734866369796e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,11,1.200000,6.371244188992757074e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,12,1.400000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,13,1.400000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,14,2.000000,9.764299613028706512e-03,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,15,9.000000,7.278443325914574900e-10,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
normal,Low,16,16,16.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_low_16
100balls,Low,16,0,1584.000000,5.425451834544698920e-17,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,1,891.000000,7.278443325914574900e-10,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,2,198.000000,9.764299613028706512e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,3,138.600000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,4,138.600000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,5,118.800000,6.371244188992757074e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,6,108.900000,8.054658734866369796e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,7,99.000000,1.018286623627522869e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,8,49.500000,3.288399017149976622e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,9,99.000000,1.018286623627522869e-01,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,10,108.900000,8.054658734866369796e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,11,118.800000,6.371244188992757074e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,12,138.600000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,13,138.600000,3.986377860014226476e-02,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,14,198.000000,9.764299613028706512e-03,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,15,891.000000,7.278443325914574900e-10,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
100balls,Low,16,16,1584.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=buy100_low_16
normal,Medium,8,0,13.000000,2.825957539933428054e-05,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,1,3.000000,3.862899942246642709e-02,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,2,1.300000,1.318228174704449696e-01,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,3,0.700000,2.032991015105701516e-01,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,4,0.400000,2.524689036176375745e-01,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,5,0.700000,2.032991015105701516e-01,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,6,1.300000,1.318228174704449696e-01,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,7,3.000000,3.862899942246642709e-02,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
normal,Medium,8,8,13.000000,9.999999999999999547e-07,authoritative_multiplier_table+rtp_solver,mode=normal_medium_8
100balls,Medium,8,0,1287.000000,2.825957539933428054e-05,authoritative_multiplier_table+rtp_solver,mode=buy100_medium_8
