difficulty,rows,bucket_index,multiplier,payout_unit,source,notes
Medium,9,9,18.000000,x,authoritative_multiplier_table,mode=normal_medium_9
Medium,10,0,22.000000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,1,5.000000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,2,2.000000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,3,1.400000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,4,0.600000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,5,0.400000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,6,0.600000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,7,1.400000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,8,2.000000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,9,5.000000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,10,10,22.000000,x,authoritative_multiplier_table,mode=normal_medium_10
Medium,11,0,24.000000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,1,6.000000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,2,3.000000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,3,1.800000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,4,0.700000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,5,0.500000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,6,0.500000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,7,0.700000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,8,1.800000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,9,3.000000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,10,6.000000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,11,11,24.000000,x,authoritative_multiplier_table,mode=normal_medium_11
Medium,12,0,33.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,1,11.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,2,4.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,3,2.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,4,1.100000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,5,0.600000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,6,0.300000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,7,0.600000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,8,1.100000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,9,2.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,10,4.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,11,11.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,12,12,33.000000,x,authoritative_multiplier_table,mode=normal_medium_12
Medium,13,0,43.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,1,13.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,2,6.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,3,3.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,4,1.300000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,5,0.700000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,6,0.400000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,7,0.400000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,8,0.700000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,9,1.300000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,10,3.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,11,6.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,12,13.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,13,13,43.000000,x,authoritative_multiplier_table,mode=normal_medium_13
Medium,14,0,58.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,1,15.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,2,7.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,3,4.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,4,1.900000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,5,1.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,6,0.500000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,7,0.200000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,8,0.500000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,9,1.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,10,1.900000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,11,4.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,12,7.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,13,15.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,14,14,58.000000,x,authoritative_multiplier_table,mode=normal_medium_14
Medium,15,0,88.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,1,18.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,2,11.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,3,5.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,4,3.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,5,1.300000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,6,0.500000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,7,0.300000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,8,0.300000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,9,0.500000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,10,1.300000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,11,3.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,12,5.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,13,11.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,14,18.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,15,15,88.000000,x,authoritative_multiplier_table,mode=normal_medium_15
Medium,16,0,110.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,1,41.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,2,10.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,3,5.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,4,3.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,5,1.500000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,6,1.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,7,0.500000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,8,0.300000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,9,0.500000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,10,1.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,11,1.500000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,12,3.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,13,5.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,14,10.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,15,41.000000,x,authoritative_multiplier_table,mode=normal_medium_16
Medium,16,16,110.000000,x,authoritative_multiplier_table,mode=normal_medium_16
High,8,0,29.000000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,1,4.000000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,2,1.500000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,3,0.300000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,4,0.200000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,5,0.300000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,6,1.500000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,7,4.000000,x,authoritative_multiplier_table,mode=normal_high_8
High,8,8,29.000000,x,authoritative_multiplier_table,mode=normal_high_8
High,9,0,43.000000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,1,7.000000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,2,2.000000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,3,0.600000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,4,0.200000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,5,0.200000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,6,0.600000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,7,2.000000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,8,7.000000,x,authoritative_multiplier_table,mode=normal_high_9
High,9,9,43.000000,x,authoritative_multiplier_table,mode=normal_high_9
High,10,0,76.000000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,1,10.000000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,2,3.000000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,3,0.900000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,4,0.300000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,5,0.200000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,6,0.300000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,7,0.900000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,8,3.000000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,9,10.000000,x,authoritative_multiplier_table,mode=normal_high_10
High,10,10,76.000000,x,authoritative_multiplier_table,mode=normal_high_10
High,11,0,120.000000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,1,14.000000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,2,5.200000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,3,1.400000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,4,0.400000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,5,0.200000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,6,0.200000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,7,0.400000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,8,1.400000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,9,5.200000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,10,14.000000,x,authoritative_multiplier_table,mode=normal_high_11
High,11,11,120.000000,x,authoritative_multiplier_table,mode=normal_high_11
High,12,0,170.000000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,1,24.000000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,2,8.100000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,3,2.000000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,4,0.700000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,5,0.200000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,6,0.200000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,7,0.200000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,8,0.700000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,9,2.000000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,10,8.100000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,11,24.000000,x,authoritative_multiplier_table,mode=normal_high_12
High,12,12,170.000000,x,authoritative_multiplier_table,mode=normal_high_12
High,13,0,260.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,1,37.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,2,11.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,3,4.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,4,1.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,5,0.200000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,6,0.200000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,7,0.200000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,8,0.200000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,9,1.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,10,4.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,11,11.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,12,37.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,13,13,260.000000,x,authoritative_multiplier_table,mode=normal_high_13
High,14,0,420.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,1,56.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,2,18.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,3,5.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,4,1.900000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,5,0.300000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,6,0.200000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,7,0.200000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,8,0.200000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,9,0.300000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,10,1.900000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,11,5.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,12,18.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,13,56.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,14,14,420.000000,x,authoritative_multiplier_table,mode=normal_high_14
High,15,0,620.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,1,83.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,2,27.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,3,8.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,4,3.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,5,0.500000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,6,0.200000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,7,0.200000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,8,0.200000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,9,0.200000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,10,0.500000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,11,3.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,12,8.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,13,27.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,14,83.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,15,15,620.000000,x,authoritative_multiplier_table,mode=normal_high_15
High,16,0,1000.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,1,130.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,2,26.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,3,9.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,4,4.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,5,2.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,6,0.200000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,7,0.200000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,8,0.200000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,9,0.200000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,10,0.200000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,11,2.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,12,4.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,13,9.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,14,26.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,15,130.000000,x,authoritative_multiplier_table,mode=normal_high_16
High,16,16,1000.000000,x,authoritative_multiplier_table,mode=normal_high_16
Expert,8,0,500.000000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,1,46.000000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,2,11.000000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,3,0.100000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,4,0.100000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,5,0.100000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,6,11.000000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,7,46.000000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,8,8,500.000000,x,authoritative_multiplier_table,mode=normal_expert_8
Expert,9,0,1000.000000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,1,78.000000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,2,15.000000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,3,0.200000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,4,0.100000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,5,0.100000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,6,0.200000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,7,15.000000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,8,78.000000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,9,9,1000.000000,x,authoritative_multiplier_table,mode=normal_expert_9
Expert,10,0,2000.000000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,1,110.000000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,2,20.000000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,3,0.600000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,4,0.100000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,5,0.100000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,6,0.100000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,7,0.600000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,8,20.000000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,9,110.000000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,10,10,2000.000000,x,authoritative_multiplier_table,mode=normal_expert_10
Expert,11,0,3200.000000,x,authoritative_multiplier_table,mode=normal_expert_11
